# Binding Energy database from NIST Atomic Spectra Database Ionization Energies Form.,,
Element,Q,Binding Energy
H,0,13.598434599702
He,0,79.005154539
He,1,54.4177655282
Li,0,203.4861711
Li,1,198.0944562
Li,2,122.45435913
Be,0,399.14864
Be,1,389.82595
Be,2,371.614789
Be,3,217.71858459
B,0,670.98383
B,1,662.68582
B,2,637.53099
B,3,599.600401
B,4,340.2260225
C,0,1030.1085
C,1,1018.8482
C,2,994.4651
C,3,946.57727
C,4,882.08376
C,5,489.99320779
N,0,1486.058
N,1,1471.524
N,2,1441.9225
N,3,1394.4772
N,4,1317.0037
N,5,1219.11355
N,6,667.0461377
O,0,2043.8429
O,1,2030.2249
O,2,1995.1038
O,3,1940.1682
O,4,1862.7547
O,5,1748.8558
O,6,1610.73688
O,7,871.4099138
F,0,2715.891
F,1,2698.468
F,2,2663.497
F,3,2600.789
F,4,2513.615
F,5,2399.3658
F,6,2242.2027
F,7,2057.0158
F,8,1103.1175302
Ne,0,3511.696
Ne,1,3490.132
Ne,2,3449.168
Ne,3,3385.746
Ne,4,3288.556
Ne,5,3162.309
Ne,6,3004.375
Ne,7,2797.1045
Ne,8,2558.0075
Ne,9,1362.199256
Na,0,4419.96
Na,1,4414.83
Na,2,4367.54
Na,3,4295.92
Na,4,4196.99
Na,5,4058.59
Na,6,3886.36
Na,7,3677.849
Na,8,3413.657
Na,9,3113.8014
Na,10,1648.702285
Mg,0,5451.06
Mg,1,5443.41
Mg,2,5428.39
Mg,3,5348.24
Mg,4,5238.98
Mg,5,5097.64
Mg,6,4910.88
Mg,7,4685.87
Mg,8,4419.94
Mg,9,4091.958
Mg,10,3724.4688
Mg,11,1962.663889
Al,0,6604.95
Al,1,6598.96
Al,2,6580.13
Al,3,6551.68
Al,4,6431.69
Al,5,6277.87
Al,6,6087.38
Al,7,5845.62
Al,8,5560.98
Al,9,5230.77
Al,10,4832.122
Al,11,4390.11729
Al,12,2304.140359
Si,0,7888.53
Si,1,7880.39
Si,2,7864.03
Si,3,7830.54
Si,4,7785.40
Si,5,7618.63
Si,6,7413.35
Si,7,7166.78
Si,8,6863.19
Si,9,6511.91
Si,10,6110.524
Si,11,5634.251
Si,12,5110.83601
Si,13,2673.177958
P,0,9305.8
P,1,9295.3
P,2,9275.5
P,3,9245.4
P,4,9193.9
P,5,9128.8
P,6,8908.4
P,7,8644.9
P,8,8335.2
P,9,7962.95
P,10,7538.55
P,11,7059.11
P,12,6498.492
P,13,5886.75082
P,14,3069.842145
S,0,10859.7
S,1,10849.2
S,2,10825.9
S,3,10791.1
S,4,10743.9
S,5,10671.3
S,6,10583.2
S,7,10302.2
S,8,9973.4
S,9,9593.6
S,10,9145.9
S,11,8641.33
S,12,8076.93
S,13,7424.962
S,14,6717.96908
S,15,3494.188518
Cl,0,12556.4
Cl,1,12543.5
Cl,2,12519.6
Cl,3,12479.8
Cl,4,12426.6
Cl,5,12358.9
Cl,6,12261.9
Cl,7,12147.7
Cl,8,11799.5
Cl,9,11398.6
Cl,10,10941.9
Cl,11,10411.9
Cl,12,9820.4
Cl,13,9164.06
Cl,14,8413.833
Cl,15,7604.63544
Cl,16,3946.29179
Ar,0,14400.8
Ar,1,14385.0
Ar,2,14357.4
Ar,3,14316.7
Ar,4,14257.1
Ar,5,14182.2
Ar,6,14090.9
Ar,7,13966.6
Ar,8,13823.1
Ar,9,13400.5
Ar,10,12920.8
Ar,11,12380.3
Ar,12,11761.4
Ar,13,11075.9
Ar,14,10320.7
Ar,15,9465.264
Ar,16,8546.88966
Ar,17,4426.22407
K,0,16382
K,1,16378
K,2,16346
K,3,16300
K,4,16239
K,5,16156
K,6,16057
K,7,15939
K,8,15786
K,9,15610
K,10,15106
K,11,14540.0
K,12,13908.9
K,13,13194.3
K,14,12408.0
K,15,11547.0
K,16,10579.398
K,17,9544.85694
K,18,4934.04979
Ca,0,18510
Ca,1,18505
Ca,2,18492
Ca,3,18441
Ca,4,18374
Ca,5,18290
Ca,6,18181
Ca,7,18053
Ca,8,17907
Ca,9,17717
Ca,10,17507
Ca,11,16915
Ca,12,16257
Ca,13,15528.2
Ca,14,14711.0
Ca,15,13817.0
Ca,16,12843.3
Ca,17,11756.447
Ca,18,10598.7212
Ca,19,5469.86358
Sc,0,20788
Sc,1,20781
Sc,2,20769
Sc,3,20744
Sc,4,20671
Sc,5,20578
Sc,6,20467
Sc,7,20330
Sc,8,20171
Sc,9,19991
Sc,10,19767
Sc,11,19516
Sc,12,18829
Sc,13,18072
Sc,14,17238.3
Sc,15,16311.7
Sc,16,15303.1
Sc,17,14209.7
Sc,18,12996.616
Sc,19,11708.6600
Sc,20,6033.75643
Ti,0,23221
Ti,1,23215
Ti,2,23201
Ti,3,23174
Ti,4,23130
Ti,5,23031
Ti,6,22911
Ti,7,22771
Ti,8,22600
Ti,9,22408
Ti,10,22192
Ti,11,21927
Ti,12,21635
Ti,13,20848
Ti,14,19984
Ti,15,19039.5
Ti,16,17996.9
Ti,17,16866.7
Ti,18,15646.4
Ti,19,14300.089
Ti,20,12874.8328
Ti,21,6625.81023
V,0,25820
V,1,25812
V,2,25797
V,3,25769
V,4,25722
V,5,25656
V,6,25528
V,7,25378
V,8,25205
V,9,24998
V,10,24768
V,11,24513
V,12,24204
V,13,23868
V,14,22972
V,15,21995
V,16,20932
V,17,19766.8
V,18,18508.0
V,19,17153.7
V,20,15667.093
V,21,14097.4374
V,22,7246.12624
Cr,0,28582
Cr,1,28576
Cr,2,28559
Cr,3,28528
Cr,4,28479
Cr,5,28410
Cr,6,28319
Cr,7,28158
Cr,8,27973
Cr,9,27764
Cr,10,27520
Cr,11,27249
Cr,12,26952
Cr,13,26597
Cr,14,26213
Cr,15,25201
Cr,16,24104
Cr,17,22916
Cr,18,21621.6
Cr,19,20227.0
Cr,20,18731.9
Cr,21,17097.849
Cr,22,15376.6654
Cr,23,7894.80289
Mn,0,31514
Mn,1,31507
Mn,2,31491
Mn,3,31457
Mn,4,31406
Mn,5,31333
Mn,6,31238
Mn,7,31119
Mn,8,30923
Mn,9,30702
Mn,10,30453
Mn,11,30167
Mn,12,29853
Mn,13,29509
Mn,14,29107
Mn,15,28671
Mn,16,27537
Mn,17,26313
Mn,18,24993
Mn,19,23561.7
Mn,20,22024.6
Mn,21,20381.3
Mn,22,18592.613
Mn,23,16712.7408
Mn,24,8571.95438
Fe,0,34619
